time,f(t),IIR_CFE,Grunwald,exponential,recursive,shiftAvg1,shiftAvg9,shiftAvg5,shiftAvg3,shiftAvg8
1.9300,0.4597,-0.8480,-0.8108,-0.7373,-0.8574,-0.8887,-0.8329,-0.8578,-0.7619,-0.7987
1.9400,0.3883,-1.0883,-1.0206,-0.9472,-1.0513,-1.0826,-1.0585,-1.0952,-0.9924,-1.0250
1.9500,0.3145,-1.2582,-1.2240,-1.1516,-1.2463,-1.2698,-1.2777,-1.3259,-1.2170,-1.2450
1.9600,0.2386,-1.4839,-1.4199,-1.3490,-1.4256,-1.4491,-1.4889,-1.5484,-1.4341,-1.4575
1.9700,0.1613,-1.6371,-1.6071,-1.5384,-1.6042,-1.6193,-1.6911,-1.7615,-1.6424,-1.6610
1.9800,0.0830,-1.8433,-1.7843,-1.7186,-1.7643,-1.7795,-1.8828,-1.9636,-1.8407,-1.8543
1.9900,0.0042,-1.9751,-1.9505,-1.8884,-1.9224,-1.9286,-2.0629,-2.1537,-2.0277,-2.0362
2.0000,-0.0746,-2.1576,-2.1047,-2.0467,-2.0595,-2.0657,-2.2303,-2.3305,-2.2023,-2.2057
2.0100,-0.1530,-2.2641,-2.2458,-2.1926,-2.1923,-2.1899,-2.3839,-2.4929,-2.3633,-2.3615
2.0200,-0.2304,-2.4190,-2.3730,-2.3252,-2.3029,-2.3006,-2.5228,-2.6399,-2.5097,-2.5027
2.0300,-0.3064,-2.4966,-2.4856,-2.4436,-2.4084,-2.3968,-2.6461,-2.7706,-2.6407,-2.6286
2.0400,-0.3805,-2.6209,-2.5827,-2.5471,-2.4898,-2.4782,-2.7530,-2.8841,-2.7554,-2.7382
2.0500,-0.4522,-2.6670,-2.6639,-2.6350,-2.5640,-2.5442,-2.8429,-2.9799,-2.8531,-2.8309
2.0600,-0.5211,-2.7584,-2.7285,-2.7068,-2.6141,-2.5943,-2.9152,-3.0572,-2.9331,-2.9061
2.0700,-0.5868,-2.7710,-2.7762,-2.7621,-2.6566,-2.6282,-2.9695,-3.1155,-2.9951,-2.9634
2.0800,-0.6488,-2.8280,-2.8068,-2.8005,-2.6742,-2.6458,-3.0053,-3.1546,-3.0386,-3.0023
